,Age,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting,BRId,IAId
Age,1.0,-0.0016815933260404142,-0.023504162182817475,-0.00427501108529147,0.00343146033758029,0.004772592822295614,-0.01072496696347442,-0.0028960782997416797,0.001204941583520774,-0.024934731740220744,0.00012905138197952313,0.002228954656141006,-0.0011976740814942214,-0.011291987323679687,-0.005061089493151247
Estimated Income,-0.0016815933260404142,1.0,0.374801964591013,-0.038399443253226244,0.29852661242553113,0.32992632025805574,0.26033216733516634,0.2914115595747654,0.261299283361487,0.3069985179028632,0.32853082226390035,-0.008174720233973169,0.6647261466555814,0.018562602583111598,-0.009528032109041035
Superannuation Savings,-0.023504162182817475,0.374801964591013,1.0,-0.039416292496437404,0.22556194003867916,0.2414567253385432,0.17408384446657318,0.19818785776967998,0.17713173918933114,0.228103075917079,0.2649194746262091,0.024669169576053973,0.4996403577507157,-0.010601594579569966,0.012753599695432957
Amount of Credit Cards,-0.00427501108529147,-0.038399443253226244,-0.039416292496437404,1.0,-0.021644066993259523,6.741419445289354e-05,-0.025614464897171386,-0.017294811602042874,-0.03143783418932726,-0.018598087900659768,-0.018310570544787276,0.002475604439790021,-0.02737845361354285,0.022976699295875824,0.01649464562715906
Credit Card Balance,0.00343146033758029,0.29852661242553113,0.22556194003867916,-0.021644066993259523,1.0,0.3695090366080178,0.3838771621169243,0.29867209759558744,0.28469632194503997,0.35771968426814865,0.3510631694948602,0.0023537093970415995,0.3996936496519741,0.023785195073907372,-0.01226178905380032
Bank Loans,0.004772592822295614,0.32992632025805574,0.2414567253385432,6.741419445289354e-05,0.3695090366080178,1.0,0.3731545955340351,0.29208245786758724,0.26888168929458117,0.36439125317325627,0.41709540133011147,0.01468671433134032,0.42182444082114323,0.03031555419445206,0.0008071217243468545
Bank Deposits,-0.01072496696347442,0.26033216733516634,0.17408384446657318,-0.025614464897171386,0.3838771621169243,0.3731545955340351,1.0,0.8442778630738238,0.7547444161002917,0.40634741829317406,0.4412981755991812,-0.013553456377970261,0.3454117880009999,0.021866724714034443,-0.007987011677727526
Checking Accounts,-0.0028960782997416797,0.2914115595747654,0.19818785776967998,-0.017294811602042874,0.29867209759558744,0.29208245786758724,0.8442778630738238,1.0,0.4595089390728744,0.3126506032721332,0.35590427714196976,-0.008913718816765235,0.37307637481589156,0.019215993454927804,-0.010526216356963025
Saving Accounts,0.001204941583520774,0.261299283361487,0.17713173918933114,-0.03143783418932726,0.28469632194503997,0.26888168929458117,0.7547444161002917,0.4595089390728744,1.0,0.31146469385410225,0.30754963155667436,-0.025503442306248635,0.3473580149127024,0.004623971899525753,0.006357823430949259
Foreign Currency Account,-0.024934731740220744,0.3069985179028632,0.228103075917079,-0.018598087900659768,0.35771968426814865,0.36439125317325627,0.40634741829317406,0.3126506032721332,0.31146469385410225,1.0,0.36974891626441403,-0.0113431260770821,0.4018720713177122,0.024848019161365857,-0.011497509694494796
Business Lending,0.00012905138197952313,0.32853082226390035,0.2649194746262091,-0.018310570544787276,0.3510631694948602,0.41709540133011147,0.4412981755991812,0.35590427714196976,0.30754963155667436,0.36974891626441403,1.0,0.017883513952585868,0.41787492030135304,0.0038932856016538724,0.012556516366228591
Properties Owned,0.002228954656141006,-0.008174720233973169,0.024669169576053973,0.002475604439790021,0.0023537093970415995,0.01468671433134032,-0.013553456377970261,-0.008913718816765235,-0.025503442306248635,-0.0113431260770821,0.017883513952585868,1.0,0.0034868861484703834,0.02572255642972617,-0.0029716708361149135
Risk Weighting,-0.0011976740814942214,0.6647261466555814,0.4996403577507157,-0.02737845361354285,0.3996936496519741,0.42182444082114323,0.3454117880009999,0.37307637481589156,0.3473580149127024,0.4018720713177122,0.41787492030135304,0.0034868861484703834,1.0,0.010711578613650135,-0.002665516685402734
BRId,-0.011291987323679687,0.018562602583111598,-0.010601594579569966,0.022976699295875824,0.023785195073907372,0.03031555419445206,0.021866724714034443,0.019215993454927804,0.004623971899525753,0.024848019161365857,0.0038932856016538724,0.02572255642972617,0.010711578613650135,1.0,-0.00893557630988327
IAId,-0.005061089493151247,-0.009528032109041035,0.012753599695432957,0.01649464562715906,-0.01226178905380032,0.0008071217243468545,-0.007987011677727526,-0.010526216356963025,0.006357823430949259,-0.011497509694494796,0.012556516366228591,-0.0029716708361149135,-0.002665516685402734,-0.00893557630988327,1.0
